vib_x,vib_y,vib_z,temp
-0.86,-6.51,-8.0,33.75
-0.63,-6.32,-8.2,33.75
-0.16,-6.63,-8.51,33.81
-0.67,-6.75,-7.88,33.81
-0.51,-6.43,-8.24,33.81
-0.55,-6.67,-8.16,33.81
-0.9,-6.63,-8.04,33.81
-0.43,-6.47,-8.0,33.81
-0.71,-6.63,-8.0,33.81
-0.27,-7.26,-8.43,33.88
-1.77,-10.36,-1.45,33.81
-2.12,-9.73,-1.37,33.88
-2.04,-10.36,-1.57,33.88
-1.33,-9.92,-1.29,33.88
-1.8,-9.57,-1.06,33.88
-2.08,-10.24,-1.57,33.88
-2.12,-9.89,-1.29,33.94
-2.08,-10.24,-1.69,33.94
-1.37,-10.2,-1.41,33.94
-2.12,-9.85,-1.33,33.94
-2.16,-10.2,-1.53,33.94
-2.2,-10.04,-1.49,33.94
-1.41,-9.96,-1.29,33.94
-1.8,-9.96,-1.41,33.94
-2.39,-10.04,-1.45,33.94
-2.16,-10.16,-1.57,33.94
-1.8,-10.12,-1.45,34.0
-1.92,-10.0,-1.41,34.0
-2.2,-10.16,-1.65,34.0
-2.04,-10.16,-1.41,34.0
-1.41,-9.89,-1.33,34.0
-1.61,-9.69,-1.33,34.0
-2.28,-10.04,-1.65,34.0
-1.65,-9.96,-1.26,34.06
-1.49,-9.73,-1.29,34.06
-2.0,-9.77,-1.26,34.06
-1.8,-10.08,-1.49,34.06
-1.49,-9.77,-1.26,34.06
-1.57,-9.73,-1.22,34.06
-2.28,-10.04,-1.61,34.06
-2.08,-10.16,-1.45,34.06
-1.45,-9.69,-1.57,34.13
-2.12,-10.04,-1.61,34.13
-2.24,-10.2,-1.41,34.13
-1.49,-9.96,-1.26,34.13
-1.57,-9.65,-1.22,34.19
-2.2,-10.24,-1.41,34.19
-1.53,-9.92,-1.41,34.19
-1.77,-9.77,-1.26,34.19
-2.12,-10.08,-1.53,34.19
-2.08,-10.2,-1.41,34.19
-1.8,-9.73,-1.33,34.25
-2.31,-10.12,-1.69,34.25
-2.2,-10.0,-1.53,34.25
-2.98,-10.43,-1.57,34.25
-1.96,-9.77,-1.33,34.31
-2.12,-10.2,-1.41,34.31
-1.37,-9.85,-1.33,34.31
-2.08,-9.73,-1.29,34.31
-2.28,-10.16,-1.65,34.38
-1.92,-10.12,-1.41,34.38
-2.47,-10.0,-1.49,34.38
-2.39,-10.0,-1.41,34.38
-1.26,-9.81,-1.29,34.44
-2.0,-9.77,-1.29,34.38
-2.0,-10.24,-1.45,34.44
-1.37,-9.92,-1.26,34.44
-2.2,-9.85,-1.37,34.38
-2.2,-10.08,-1.61,34.44
-1.29,-10.16,-1.37,34.44
-2.2,-9.85,-1.49,34.44
-2.0,-10.12,-1.49,34.44
-1.14,-10.08,-1.37,34.44
-2.31,-9.81,-1.45,34.44
-2.2,-9.45,-1.45,34.44
-2.24,-9.26,-1.45,34.44
-1.57,-10.16,-1.45,34.44
-2.16,-9.57,-1.73,34.5
-1.65,-10.0,-1.53,34.44
-1.33,-9.92,-1.57,34.63
-2.39,-9.92,-1.41,34.63
-1.96,-9.85,-1.77,34.69
-2.43,-9.89,-1.61,34.69
-1.65,-9.92,-1.41,34.69
-2.43,-9.73,-1.65,34.69
-1.77,-10.59,-1.53,34.69
-2.08,-10.04,-1.57,34.69
-2.31,-9.96,-1.53,34.69
-1.57,-10.24,-1.53,34.69
-2.39,-9.81,-1.37,34.75
-1.73,-9.92,-1.49,34.75
-1.84,-9.96,-1.49,34.75
-2.51,-9.92,-1.53,34.75
-1.88,-9.81,-1.49,34.75
-2.55,-9.92,-1.49,34.75
-2.16,-10.2,-1.37,34.81
-2.12,-9.89,-0.55,34.75
-1.49,-0.43,9.49,34.75
-1.96,-0.08,9.53,34.75
-3.3,-1.73,9.3,34.81
-0.16,-2.86,9.34,34.75
-0.94,0.0,9.18,34.75
1.02,-5.18,5.1,34.75
1.49,-5.02,8.32,34.75
1.53,-0.51,9.89,34.75
0.08,-1.84,9.53,34.75
1.33,-1.69,9.53,34.75
0.35,-1.41,9.77,34.75
0.67,-1.02,9.57,34.75
1.06,-1.37,9.53,34.75
0.43,-1.77,9.53,34.75
0.31,-1.18,9.65,34.75
-0.04,-2.04,9.57,34.75
0.16,-2.63,8.94,34.75
-1.77,-3.1,9.22,34.75
-1.8,-3.84,8.75,34.75
-1.69,-4.16,8.79,34.75
-1.49,-2.94,9.18,34.75
-1.77,-2.9,9.3,34.81
-2.0,-3.69,8.98,34.81
-1.29,-3.14,9.1,34.88
-1.49,-4.47,8.51,34.88
-1.14,-3.88,8.87,34.88
-1.73,-4.47,8.94,34.88
-1.73,-4.51,8.67,34.88
-1.1,-3.73,8.94,34.88
-1.26,-3.61,8.98,34.88
-1.49,-4.16,8.87,34.88
-1.1,-3.92,8.71,34.88
-2.12,-4.08,8.75,34.88
-2.43,-3.92,8.67,34.81
-2.12,-4.0,8.71,34.88
-1.96,-3.8,8.94,34.88
-2.16,-3.37,9.02,34.88
-2.24,-3.02,9.06,34.81
-2.16,-2.9,9.22,34.81
-2.0,-2.86,9.1,34.81
-2.08,-2.82,9.14,34.81
-2.04,-3.22,9.14,34.81
-1.88,-2.67,9.22,34.81
-1.96,-2.86,9.06,34.81
-2.04,-3.14,9.26,34.81
-2.04,-3.3,9.02,34.81
-2.08,-3.22,9.1,34.81
-2.9,-2.59,8.98,34.81
-3.53,-3.14,8.71,34.81
-2.35,-4.28,8.67,34.81
-5.96,-5.14,7.88,34.81
-5.53,-8.16,2.24,34.75
-4.43,-6.55,5.92,34.69
-5.57,-5.81,6.12,34.75
-3.22,-2.28,9.65,34.69
-3.3,-5.33,5.88,34.69
-0.39,-4.59,9.41,34.69
0.2,-1.73,9.53,34.69
-0.16,-3.53,9.26,34.69
0.43,-1.61,9.45,34.63
0.12,-2.55,9.3,34.63
0.98,-2.28,9.38,34.69
0.39,-1.65,9.69,34.69
0.12,-1.65,9.61,34.69
0.39,-2.12,9.38,34.69
-0.08,-1.37,9.69,34.69
0.16,-0.9,9.65,34.69
0.27,-1.69,9.45,34.69
0.27,-1.02,9.53,34.69
0.43,-1.49,9.61,34.69
-0.31,-1.69,9.57,34.63
-0.82,-0.9,9.57,34.63
-0.08,-1.41,9.49,34.63
-0.24,-1.77,9.06,34.56
0.04,-2.24,9.3,34.63
-0.08,-1.61,9.61,34.56
-0.04,-1.8,9.45,34.63
-0.12,-1.88,9.34,34.63
0.27,-1.88,9.34,34.63
-0.2,-1.84,9.53,34.63
-0.27,-1.53,9.77,34.63
-0.08,-1.61,9.69,34.56
0.08,-1.61,9.61,34.56
0.04,-1.37,9.61,34.56
0.24,-1.1,9.85,34.56
-0.04,-1.18,9.61,34.56
0.08,-1.41,9.73,34.56
0.12,-1.45,9.53,34.56
0.16,-1.37,9.61,34.56
0.16,-1.29,9.73,34.56
-0.04,-1.37,9.61,34.56
-0.71,-1.06,9.81,34.63
-3.3,-1.77,9.1,34.63
-3.65,-2.9,9.14,34.56
-4.04,-0.43,9.69,34.56
-3.22,0.55,9.1,34.56
-1.69,-6.04,7.85,34.5
-0.04,-1.53,9.3,34.5
-0.24,-1.96,9.53,34.5
0.08,-2.0,9.61,34.5
0.04,-1.61,9.69,34.5
-0.2,-1.45,9.69,34.44
-0.31,-1.41,9.38,34.44
-0.16,-1.61,9.41,34.44
-0.27,-1.88,9.49,34.44
-0.04,-1.41,9.57,34.44
-0.43,-2.0,9.61,34.44
-0.86,-3.06,9.49,34.44
-5.33,-4.51,5.06,34.44
-1.29,-4.31,8.04,34.38
-1.06,-3.3,9.1,34.38
-0.94,-3.88,8.94,34.38
-1.41,-4.43,8.71,34.31
-0.47,-3.41,8.28,34.31
-0.51,-3.84,8.98,34.31
-0.63,-3.33,9.34,34.31
-0.47,-3.41,9.14,34.31
-0.86,-3.73,8.87,34.25
-0.75,-4.0,8.9,34.25
-1.02,-3.92,8.94,34.25
-0.51,-4.9,8.12,34.25
-1.37,-4.35,8.9,34.25
-0.67,-3.57,9.18,34.25
-0.71,-3.57,9.14,34.25
-0.9,-4.31,9.14,34.19
-1.18,-4.04,8.87,34.19
-1.49,-4.04,8.59,34.19
-1.14,-4.04,8.9,34.19
-0.9,-4.04,8.9,34.13
-0.98,-3.96,9.06,34.13
-1.29,-4.43,8.67,34.19
-1.1,-4.12,8.9,34.13
-0.94,-4.28,8.83,34.13
-0.75,-4.04,8.98,34.13
-0.67,-3.84,9.02,34.13
-0.47,-3.73,9.06,34.06
-1.1,-4.08,8.94,34.06
-1.14,-4.35,8.75,34.06
-0.86,-4.51,8.79,34.06
-0.55,-5.3,6.04,34.0
-0.55,-3.84,8.94,34.06
-0.78,-4.16,8.9,34.06
-1.37,-4.55,8.43,34.06
-1.02,-4.51,8.71,34.0
-0.39,-4.08,8.9,34.0
-0.55,-4.04,9.02,34.0
0.24,-4.55,8.98,34.0
-1.06,-4.31,8.87,34.0
-1.22,-4.39,8.75,34.0
-0.47,-4.16,8.67,34.0
-0.86,-4.47,8.63,33.69
-0.67,-3.61,8.87,33.69
0.9,-3.8,9.14,33.69
-1.06,-4.55,8.75,33.69
-1.26,-4.86,8.59,33.69
-0.71,-3.84,9.1,33.69
-0.71,-4.43,8.94,33.69
-1.37,-5.33,8.39,33.69
-1.33,-4.71,8.55,33.69
-0.47,-3.77,9.14,33.69
-0.24,-3.65,9.02,33.69
-1.29,-4.9,8.47,33.69
-0.55,-5.18,8.24,33.69
-1.02,-4.71,8.71,33.69
-1.41,-4.79,8.47,33.69
-0.63,-4.35,8.9,33.69
-0.59,-4.12,8.94,33.69
-1.49,-5.3,8.24,33.63
-0.86,-3.92,9.06,33.69
-1.49,-3.73,8.39,33.63
-0.59,-4.12,8.94,33.69
-5.73,-6.63,6.94,33.56
-0.59,-4.47,9.18,33.63
-0.39,-3.96,9.06,33.56
-0.59,-4.79,8.67,33.56
-0.27,-4.28,8.79,33.56
-0.27,-4.08,8.79,33.56
-0.94,-4.47,8.79,33.63
-0.59,-3.57,9.1,33.56
-0.55,-3.96,9.1,33.56
-0.31,-4.9,8.55,33.56
-0.39,-5.1,8.55,33.56
-0.31,-4.82,8.67,33.56
-0.59,-4.2,8.83,33.56
-1.06,-4.28,8.94,33.5
-0.98,-3.92,9.02,33.56
-0.75,-3.57,9.26,33.56
-0.16,-4.9,8.43,33.5
-0.16,-4.47,8.63,33.5
-0.04,-4.24,8.79,33.56
-0.47,-4.31,8.59,33.5
-1.45,-4.16,8.98,33.5
-1.33,-3.77,8.98,33.5
-0.82,-4.0,9.06,33.5
-0.55,-4.55,8.55,33.5
-0.86,-4.16,9.1,33.5
-0.82,-3.96,8.98,33.5
-0.67,-3.88,8.98,33.5
-0.59,-4.08,8.98,33.5
-0.47,-4.35,8.79,33.5
-0.39,-4.59,8.71,33.44
-0.31,-4.16,8.79,33.5
-0.39,-4.24,8.75,33.5
-0.98,-4.63,8.63,33.5
-1.1,-4.86,8.55,33.5
-0.67,-3.88,8.98,33.5
-0.27,-4.71,8.71,33.5
-0.94,-4.59,8.79,33.5
-1.18,-4.55,8.63,33.44
-1.1,-4.43,8.87,33.5
-0.9,-4.0,9.02,33.44
-0.31,-3.88,9.02,33.5
-0.35,-4.67,8.55,33.5
-0.47,-5.06,8.47,33.44
-0.35,-4.12,8.83,33.5
-0.39,-4.08,8.63,33.5
-0.55,-4.43,8.75,33.44
-0.98,-4.63,8.71,33.44
-0.86,-4.63,8.67,33.44
-0.71,-3.96,9.02,33.44
-0.51,-4.2,8.94,33.44
-0.35,-4.31,8.87,33.44
-0.35,-4.67,8.59,33.44
-0.27,-4.75,8.51,33.44
-0.2,-4.35,8.55,33.44
-0.43,-4.39,8.63,33.44
-1.02,-4.71,8.59,33.44
-1.33,-4.67,8.59,33.44
-1.14,-4.24,8.87,33.44
-0.82,-3.77,9.02,33.5
-0.08,-4.31,8.79,33.44
-0.27,-4.39,8.79,33.44
-0.31,-4.35,8.75,33.44
-0.63,-4.39,8.87,33.44
-1.14,-4.43,8.75,33.44
-0.98,-4.04,8.87,33.44
-0.82,-3.92,9.1,33.44
-0.71,-4.08,9.18,33.44
-1.22,-4.35,8.63,33.38
-1.06,-4.2,8.94,33.44
-0.75,-3.8,9.06,33.44
-0.59,-3.8,9.14,33.38
-0.39,-4.08,8.94,33.44
-0.24,-4.35,8.87,33.44
-0.2,-4.59,8.71,33.44
-1.92,-4.39,8.55,33.44
-0.94,-4.04,8.94,33.38
-0.55,-3.96,8.94,33.44
-0.59,-3.57,8.94,33.38
-0.39,-3.88,8.94,33.44
-0.27,-4.75,8.83,33.38
-0.31,-4.67,8.59,33.38
-0.24,-4.35,8.79,33.38
-0.24,-4.31,8.79,33.38
-0.67,-4.39,8.67,33.38
-1.18,-4.24,8.59,33.38
-0.86,-4.0,8.94,33.38
-0.71,-4.04,8.9,33.38
-0.51,-4.12,8.94,33.38
-0.39,-4.31,8.83,33.38
-0.24,-4.51,8.67,33.38
-0.24,-4.75,8.59,33.38
-0.31,-4.67,8.59,33.38
-0.39,-4.24,8.79,33.38
-0.75,-4.51,8.71,33.38
-1.18,-4.63,8.59,33.38
-1.18,-4.39,8.71,33.38
-1.02,-4.12,8.87,33.38
-0.67,-3.88,9.1,33.38
-0.47,-4.16,8.9,33.38
-0.47,-4.47,8.87,33.38
-0.51,-4.82,8.59,33.38
-0.24,-4.59,8.63,33.38
-0.31,-4.24,8.79,33.38
-0.78,-4.55,8.63,33.38
-1.18,-4.71,8.51,33.38
-0.16,-4.75,8.59,33.31
-0.2,-4.82,8.59,33.31
-0.39,-4.71,8.67,33.38
-0.27,-4.43,8.63,33.38
-0.35,-4.24,8.87,33.38
-0.35,-4.24,8.71,33.31
-1.14,-4.16,8.67,33.31
-0.47,-4.0,8.9,33.31
-0.35,-4.28,8.83,33.31
-0.31,-4.08,8.83,33.38
-0.67,-4.47,8.59,33.38
-1.22,-4.79,8.67,33.38
-1.26,-4.79,8.51,33.38
-0.71,-4.0,8.9,33.38
-0.43,-4.75,8.47,33.38
-0.35,-4.63,8.63,33.38
-0.27,-4.35,8.75,33.38
-0.27,-4.28,8.67,33.38
-0.98,-4.12,8.83,33.38
-0.31,-4.35,8.55,33.38
-1.06,-4.47,8.67,33.38
-1.45,-4.59,8.63,33.38
-1.29,-4.31,8.83,33.38
-0.98,-4.08,8.98,33.38
-0.71,-4.0,8.98,33.38
-0.55,-4.16,8.87,33.38
-0.39,-4.63,8.59,33.38
-0.35,-4.55,8.71,33.38
-0.39,-4.31,8.79,33.38
-1.14,-4.86,8.75,33.38
-1.49,-5.14,8.67,33.38
-0.47,-4.28,8.83,33.38
-0.59,-4.39,8.75,33.38
-0.63,-4.39,8.71,33.38
-0.59,-4.43,8.71,33.38
-0.63,-4.39,8.75,33.38
-0.67,-4.39,8.75,33.38
-0.67,-4.35,8.71,33.38
-0.67,-4.39,8.75,33.38
-0.59,-4.47,8.79,33.38
-0.63,-4.39,8.71,33.38
-0.59,-4.39,8.79,33.31
-0.75,-4.47,8.87,33.38
-0.67,-4.47,8.71,33.38
-0.63,-4.39,8.75,33.38
-0.63,-4.35,8.79,33.31
-0.59,-4.43,8.75,33.38
-0.67,-4.39,8.79,33.31
-0.67,-4.35,8.79,33.38
-0.55,-4.43,8.75,33.38
-0.63,-4.47,8.71,33.38
-0.63,-4.39,8.75,33.38
-0.55,-4.39,8.75,33.38
-0.63,-4.28,8.63,33.31
-0.55,-4.43,8.67,33.38
-0.67,-4.39,8.75,33.38
-0.67,-4.39,8.83,33.38
-0.67,-4.35,8.75,33.38
-0.67,-4.35,8.71,33.38
-0.67,-4.43,8.75,33.38
-0.67,-4.39,8.75,33.31
-0.63,-4.35,8.83,33.31
-0.71,-4.39,8.75,33.31
-0.63,-4.43,8.75,33.31
-0.63,-4.43,8.79,33.31
-0.63,-4.35,8.79,33.31
-0.67,-4.35,8.67,33.31
-0.47,-4.31,8.47,33.31
-0.63,-4.43,8.71,33.31
-0.59,-4.47,8.75,33.31
-0.59,-4.39,8.79,33.31
-0.71,-4.43,8.75,33.31
-0.67,-4.43,8.71,33.31
-0.63,-4.39,8.71,33.31
-0.63,-4.43,8.71,33.31
-0.63,-4.39,8.75,33.31
-0.67,-4.43,8.67,33.31
-0.63,-4.39,8.67,33.31
-0.67,-4.43,8.71,33.31
-0.63,-4.55,8.75,33.31
-0.67,-4.47,8.75,33.31
-0.51,-4.51,8.75,33.31
-0.63,-4.43,8.71,33.31
-0.59,-4.43,8.71,33.31
-0.67,-4.55,8.79,33.31
-0.63,-4.47,8.71,33.31
-0.71,-4.47,8.79,33.31
-0.59,-4.51,8.71,33.31
-0.67,-4.55,8.71,33.31
-0.71,-4.59,8.67,33.31
-0.63,-4.59,8.67,33.31
-0.63,-4.43,8.75,33.31
-0.63,-4.47,8.67,33.31
-0.63,-4.43,8.71,33.31
-0.67,-4.16,8.67,33.31
-0.9,-4.39,8.71,33.31
-0.59,-4.51,8.67,33.31
-0.59,-4.47,8.63,33.31
-0.63,-4.43,8.79,33.25
-0.59,-4.39,8.79,33.31
-0.63,-4.43,8.79,33.31
-0.63,-4.39,8.67,33.31
-0.67,-4.51,8.75,33.31
-0.59,-4.43,8.67,33.31
-0.63,-4.39,8.75,33.31
-0.63,-4.43,8.75,33.31
-0.71,-4.59,9.02,33.31
-0.67,-4.47,8.75,33.31
-0.63,-4.43,8.79,33.31
-0.51,-4.47,8.71,33.31
-0.67,-4.47,8.75,33.31
-0.63,-4.47,8.75,33.31
-0.67,-4.43,8.75,33.25
-0.67,-4.43,8.71,33.25
-0.71,-4.43,8.75,33.31
-0.59,-4.51,8.79,33.25
-0.63,-4.43,8.75,33.25
-0.63,-4.47,8.71,33.25
-0.63,-4.47,8.71,33.25
-0.43,-4.55,8.51,33.25
-0.67,-4.51,8.63,33.25
-0.71,-4.39,8.83,33.25
-0.59,-4.55,8.67,33.31
-0.59,-4.47,8.79,33.25
-0.59,-4.59,8.63,33.25
-0.55,-4.51,8.71,33.25
-0.59,-4.55,8.63,33.25
-0.55,-4.47,8.75,33.25
-0.63,-4.47,8.75,33.25
-0.51,-4.51,8.75,33.25
-0.67,-4.47,8.71,33.25
-0.63,-4.59,8.71,33.25
-0.55,-4.35,8.83,33.25
-0.63,-4.47,8.71,33.25
-0.59,-4.55,8.63,33.25
-0.59,-4.55,8.67,33.25
-0.67,-4.59,8.71,33.25
-0.59,-4.51,8.71,33.25
-0.59,-4.82,8.55,33.25
-0.63,-4.82,8.55,33.25
-0.55,-4.75,8.51,33.25
-0.59,-4.79,8.55,33.25
-0.51,-4.82,8.55,33.25
-0.55,-4.86,8.59,33.25
-0.59,-4.75,8.51,33.25
-0.59,-4.79,8.55,33.25
-0.55,-4.82,8.47,33.25
-0.55,-4.86,8.63,33.25
-0.55,-4.82,8.63,33.25
-0.59,-4.82,8.59,33.25
-0.55,-4.79,8.59,33.31
-0.55,-4.9,8.55,33.31
-0.59,-4.79,8.55,33.25
-0.55,-4.75,8.59,33.31
