vib_x,vib_y,vib_z,temp,prediction,anomaly_score,is_anomaly,magnitude,prediction2,score2,is_anomaly2,temp_haute,prediction3,score3,is_anomaly3
-0.86,-6.51,-8.0,33.75,-1,-0.6395554208286816,True,10.3498647334156,1,-0.4777174710902429,False,0.0,1,-0.44076575499558923,False
-0.63,-6.32,-8.2,33.75,-1,-0.6352644739430444,True,10.372044157252706,1,-0.4809248070491679,False,0.0,1,-0.4495491611406667,False
-0.16,-6.63,-8.51,33.81,-1,-0.634644162690354,True,10.78900366113572,-1,-0.6127394149046769,True,0.0,1,-0.5366315307891157,False
-0.67,-6.75,-7.88,33.81,-1,-0.6442705639762593,True,10.397393904243506,1,-0.4926775449169234,False,0.0,1,-0.4570266916765553,False
-0.51,-6.43,-8.24,33.81,-1,-0.636996312717543,True,10.464349000296195,1,-0.5128035137421206,False,0.0,1,-0.4747723805266615,False
-0.55,-6.67,-8.16,33.81,-1,-0.640413344785362,True,10.553530215051266,1,-0.5533705019646251,False,0.0,1,-0.498195068706254,False
-0.9,-6.63,-8.04,33.81,-1,-0.6460679909718767,True,10.459851815393943,1,-0.5110675741603079,False,0.0,1,-0.47423832095846336,False
-0.43,-6.47,-8.0,33.81,-1,-0.6321806109419664,True,10.297854145403303,1,-0.46305278706522773,False,0.0,1,-0.423278680831463,False
-0.71,-6.63,-8.0,33.81,-1,-0.6408346329028993,True,10.414461099836132,1,-0.4974037604209274,False,0.0,1,-0.46053262177393545,False
-0.27,-7.26,-8.43,33.88,-1,-0.6520046895505055,True,11.12858481568973,-1,-0.6507719211582761,True,0.0,1,-0.583275512027352,False
-1.77,-10.36,-1.45,33.81,-1,-0.6676143071368856,True,10.609665404714702,-1,-0.5806922029606187,True,0.0,1,-0.510855722852429,False
-2.12,-9.73,-1.37,33.88,-1,-0.6494906550702569,True,10.0520744127767,1,-0.39521262635424403,False,0.0,1,-0.366970446385275,False
-2.04,-10.36,-1.57,33.88,-1,-0.6674368658670153,True,10.675022248220374,-1,-0.5984793164033423,True,0.0,1,-0.5134444424982897,False
-1.33,-9.92,-1.29,33.88,-1,-0.6395829218722566,True,10.091550921439183,1,-0.4091723484490384,False,0.0,1,-0.3727496691561471,False
-1.8,-9.57,-1.06,33.88,-1,-0.6455205060969404,True,9.79533052020196,1,-0.364579199560849,False,0.0,1,-0.3453706579894447,False
-2.08,-10.24,-1.57,33.88,-1,-0.6663088734921581,True,10.566404307994278,1,-0.5622602452986116,False,0.0,1,-0.49842513064683364,False
-2.12,-9.89,-1.29,33.94,-1,-0.645413796906128,True,10.196597471705942,1,-0.43068371701378017,False,0.0,1,-0.40498088636298263,False
-2.08,-10.24,-1.69,33.94,-1,-0.671728154087106,True,10.584899621630807,1,-0.5677444094749792,False,0.0,1,-0.5047215672948997,False
-1.37,-10.2,-1.41,33.94,-1,-0.655981308501965,True,10.387733150211359,1,-0.48527179434264683,False,0.0,1,-0.4518769312933099,False
-2.12,-9.85,-1.33,33.94,-1,-0.6451502298111036,True,10.162962166612646,1,-0.42185915435222293,False,0.0,1,-0.395080339124712,False
-2.16,-10.2,-1.53,33.94,-1,-0.6645676761357616,True,10.537860314124496,1,-0.5423260291487785,False,0.0,1,-0.488600565424501,False
-2.2,-10.04,-1.49,33.94,-1,-0.6514625289778332,True,10.385648752003892,1,-0.481840556126812,False,0.0,1,-0.4469501697618812,False
-1.41,-9.96,-1.29,33.94,-1,-0.6441689685729773,True,10.141686250323465,1,-0.41529322596168317,False,0.0,1,-0.3880412945121209,False
-1.8,-9.96,-1.41,33.94,-1,-0.6486969962085251,True,10.21908508624916,1,-0.43488767118006877,False,0.0,1,-0.411860871817056,False
-2.39,-10.04,-1.45,33.94,-1,-0.6527069580295339,True,10.421909613885546,1,-0.4957861811052977,False,0.0,1,-0.45937054216709666,False
-2.16,-10.16,-1.57,33.94,-1,-0.6614276559707256,True,10.505051165986771,1,-0.5234111267333948,False,0.0,1,-0.48255804543022757,False
-1.8,-10.12,-1.45,34.0,-1,-0.6571890398443008,True,10.380602101997745,1,-0.4759565886798266,False,0.0,1,-0.44475181159206184,False
-1.92,-10.0,-1.41,34.0,-1,-0.6499720822568219,True,10.279810309533927,1,-0.45256306728909473,False,0.0,1,-0.4143767192153282,False
-2.2,-10.16,-1.65,34.0,-1,-0.6658845407815839,True,10.525592619895566,1,-0.5326187124941829,False,0.0,1,-0.48082523088697415,False
-2.04,-10.16,-1.41,34.0,-1,-0.6593785405446383,True,10.458264674409422,1,-0.5033774306981986,False,0.0,1,-0.47079471242198123,False
-1.41,-9.89,-1.33,34.0,-1,-0.6422768404291027,True,10.078149631752845,1,-0.3970283613453468,False,0.0,1,-0.3686893046966635,False
-1.61,-9.69,-1.33,34.0,-1,-0.6439986884442697,True,9.912471941952724,1,-0.36000302088084624,False,0.0,1,-0.34386316337034023,False
-2.28,-10.04,-1.65,34.0,-1,-0.66161245419436,True,10.427008199862508,1,-0.4962647925027742,False,0.0,1,-0.45915026382539015,False
-1.65,-9.96,-1.26,34.06,-1,-0.6408026515868496,True,10.174069982067158,1,-0.41706749644073227,False,0.0,1,-0.39629483315159186,False
-1.49,-9.73,-1.29,34.06,-1,-0.6449159650546233,True,9.927592860306069,1,-0.3616732508609373,False,0.0,1,-0.3454997649795273,False
-2.0,-9.77,-1.26,34.06,-1,-0.6486457890677734,True,10.051890369477771,1,-0.38573350442633814,False,0.0,1,-0.36411047552921577,False
-1.8,-10.08,-1.49,34.06,-1,-0.657633835409403,True,10.347294332336352,1,-0.46694757286199085,False,0.0,1,-0.43220115629007355,False
-1.49,-9.77,-1.26,34.06,-1,-0.6436082687087863,True,9.962961407131917,1,-0.36754744267165457,False,0.0,1,-0.35084110021444936,False
-1.57,-9.73,-1.22,34.06,-1,-0.6429554152283066,True,9.93107244964007,1,-0.3616845987371625,False,0.0,1,-0.3460753853117904,False
-2.28,-10.04,-1.61,34.06,-1,-0.6585194433501234,True,10.420753331693442,1,-0.4895351378101362,False,0.0,1,-0.4556743194028635,False
-2.08,-10.16,-1.45,34.06,-1,-0.6607182792489334,True,10.471604461590402,1,-0.5080609531758228,False,0.0,1,-0.46869926142152585,False
-1.45,-9.69,-1.57,34.13,-1,-0.6481513666076905,True,9.922877606823537,1,-0.3588731248473684,False,0.0,1,-0.3455168081001345,False
-2.12,-10.04,-1.61,34.13,-1,-0.6545500012659454,True,10.38691965887866,1,-0.47766152525700317,False,0.0,1,-0.44565262031042946,False
-2.24,-10.2,-1.41,34.13,-1,-0.662026022971545,True,10.537822355686206,1,-0.5371544571283395,False,0.0,1,-0.4830778996077281,False
-1.49,-9.96,-1.26,34.13,-1,-0.6420595993164046,True,10.149349732864664,1,-0.4110637984471416,False,0.0,1,-0.3874372070379385,False
-1.57,-9.65,-1.22,34.19,-1,-0.6440438726008606,True,9.85270521227546,1,-0.35925865561992154,False,0.0,1,-0.34469476179104286,False
-2.2,-10.24,-1.41,34.19,-1,-0.6620992660653893,True,10.56814553268453,1,-0.5541484319630908,False,0.0,1,-0.49276328156472643,False
-1.53,-9.92,-1.41,34.19,-1,-0.6420145543703837,True,10.135847275881776,1,-0.4088702116061347,False,0.0,1,-0.3852929540713694,False
-1.77,-9.77,-1.26,34.19,-1,-0.6483971404428192,True,10.008666244810044,1,-0.37987295467084425,False,0.0,1,-0.35635993921558096,False
-2.12,-10.08,-1.53,34.19,-1,-0.6568861823079698,True,10.413534462419568,1,-0.48743225115751565,False,0.0,1,-0.4549869720209725,False
-2.08,-10.2,-1.41,34.19,-1,-0.6636303921646513,True,10.504975011869377,1,-0.5171870471687668,False,0.0,1,-0.47676107798576617,False
-1.8,-9.73,-1.33,34.25,-1,-0.6492295764413482,True,9.984077323418525,1,-0.37569014363762376,False,0.0,1,-0.35006624735061376,False
-2.31,-10.12,-1.69,34.25,-1,-0.6680952571914872,True,10.516967243459494,1,-0.5260720091241522,False,0.0,1,-0.4767927201590514,False
-2.2,-10.0,-1.53,34.25,-1,-0.6490640672990214,True,10.35282087162721,1,-0.46605474763766336,False,0.0,1,-0.4352679069228754,False
-2.98,-10.43,-1.57,34.25,-1,-0.6860747846131896,True,10.96039232874444,-1,-0.6285202444620599,True,0.0,1,-0.5637303993568323,False
-1.96,-9.77,-1.33,34.31,-1,-0.6488410438753945,True,10.05302939416771,1,-0.3878162366084839,False,0.0,1,-0.364450368071545,False
-2.12,-10.2,-1.41,34.31,-1,-0.6620939656134001,True,10.512968182202398,1,-0.5243416520413853,False,0.0,1,-0.4772112463797775,False
-1.37,-9.85,-1.33,34.31,-1,-0.6399859569486039,True,10.033359357662816,1,-0.38536381012207754,False,0.0,1,-0.36221432206286025,False
-2.08,-9.73,-1.29,34.31,-1,-0.6514589849510122,True,10.033115169278185,1,-0.38536381012207754,False,0.0,1,-0.36221432206286025,False
-2.28,-10.16,-1.65,34.38,-1,-0.6713918917562679,True,10.542604042645252,1,-0.5395704516810603,False,0.0,1,-0.48497979355673176,False
-1.92,-10.12,-1.41,34.38,-1,-0.6602165047108018,True,10.396581168826605,1,-0.48294203466302127,False,0.0,1,-0.45056567973766753,False
-2.47,-10.0,-1.49,34.38,-1,-0.6555377673221202,True,10.407737506297899,1,-0.4855107431918991,False,0.0,1,-0.45087062946139095,False
-2.39,-10.0,-1.41,34.38,-1,-0.650789707820908,True,10.377870687188196,1,-0.4709934629865443,False,0.0,1,-0.44020794965349647,False
